Isin,Name,Asset,Region,Volatility,Strategy
IE00BWBXM948,SPDR S&P US Technology Select Sector UCITS ETF,Equity,,25.68,Long-only
IE00BH4G7D40,iShares USD Corporate Bond ESG UCITS ETF  EUR Hedged (Dist),Bonds,World,11.49,Long-only
IE00BM67HN09,Xtrackers MSCI World Consumer Staples UCITS ETF 1C,Equity,World,12.19,Long-only
IE00B3VSSL01,Invesco US Technology Sector UCITS ETF,Equity,,26.23,Long-only
IE00BQQP9F84,VanEck Gold Miners UCITS ETF,Equity,World,28.09,Long-only
IE00BFNM3B99,iShares MSCI EMU ESG Screened UCITS ETF EUR (Acc),Equity,Europe,16.68,Long-only
DE0005933923,iShares MDAX UCITS ETF (DE),Equity,,19.63,Long-only
LU1971906802,UBS ETF (LU) Euro Stoxx 50 ESG UCITS ETF (EUR) A-dis,Equity,Europe,17.39,Long-only
LU2178481649,Xtrackers II EUR Corporate Bond Short Duration SRI PAB UCITS ETF 1C,Bonds,World,2.47,Long-only
IE00B00FV128,iShares FTSE 250 UCITS ETF,Equity,,17.24,Long-only
DE000ETFL581,Deka MSCI World Climate Change ESG UCITS ETF,Equity,World,16.27,Long-only
IE00BF3N7094,iShares EUR High Yield Corporate Bond UCITS ETF EUR (Acc),Bonds,World,4.68,Long-only
IE00BDFBTQ78,VanEck Global Mining UCITS ETF A,Equity,World,22.49,Long-only
NL0011683594,VanEck Morningstar Developed Markets Dividend Leaders UCITS ETF,Equity,World,10.54,Long-only
IE00BKBF6H24,iShares Core MSCI World UCITS ETF EUR Hedged (Dist),Equity,World,16.7,Long-only
LU1048315086,UBS ETF (LU) Bloomberg US Liquid Corporates 1-5 Year UCITS ETF (USD) A-acc,Bonds,,8.27,Long-only
IE00B77D4428,UBS ETF (IE) MSCI USA UCITS ETF (USD) A-dis,Equity,,18.52,Long-only
IE00BYM11L64,UBS ETF (IE) MSCI ACWI SF UCITS ETF (hedged to CHF) A-acc,Equity,World,15.5,Long-only
IE00BKWQ0F09,SPDR MSCI Europe Energy UCITS ETF,Equity,Europe,24.05,Long-only
